2214.811 -199.5391 442.3389
2212.785 -274.7882 470.1683
2046.64 -231.7854 434.7427
2205.01 -194.9712 447.0601
2056.005 -190.4964 461.888
2055.473 -222.3386 464.4418
2227.93 -136.4039 416.1336
2193.461 -213.5872 459.5341
2004.693 -151.9359 424.8249
2320.787 -324.5741 472.5186
2272.007 -202.279 472.889
2227.679 -100.2033 452.3199
2123.698 -201.3396 455.5801
2342.178 -206.9379 443.5937
2205.685 -278.4066 516.0135
2339.03 -217.9698 511.8702
2336.88 -250.2806 454.9407
2201.246 -242.1437 458.2878
2116.637 -161.1771 467.2931
1921.656 -131.5415 414.9956
2455.841 -191.9353 465.0334
2242.803 -176.1372 425.9467
2428.182 -177.4515 472.2842
2253.32 -233.4066 490.6331
2041.353 -231.345 453.9624
2082.843 -185.7676 456.7605
2191.229 -188.3371 456.8433
2201.866 -217.5444 498.6838
2329.626 -221.022 454.6029
2362.314 -153.55 446.3827
2181.32 -275.6632 478.4217
2173.352 -121.7267 417.8764
2068.868 -184.004 471.609
2099.824 -137.2372 451.0746
2177.223 -170.0728 483.8377
2228.284 -260.4723 492.1853
2226.184 -149.3756 460.213
2367.354 -191.1023 472.1206
2174.976 -112.7294 504.9906
2174.409 -199.3169 439.6838
2290.032 -253.4246 481.3042
2120.909 -213.5126 488.1708
2121.746 -174.5602 447.5427
2289.368 -203.7045 508.4659
2362.678 -137.4863 436.7608
2339.904 -227.3615 438.6712
2241.96 -164.1167 475.5366
1921.511 -203.2119 484.1324
2126.166 -123.3325 435.4496
2177.78 -160.8713 446.1591
2224.455 -279.429 454.8771
2295.685 -285.3455 481.8902
2328.057 -231.3179 429.6159
2070.435 -184.7799 450.1479
2215.329 -176.717 513.1442
2243.979 -201.2761 464.8552
2279.018 -194.7712 424.0286
2160.663 -209.0863 491.7186
2154.562 -213.7356 426.2833
2015.539 -199.0339 487.1142
2251.318 -105.4845 411.0063
2253.572 -191.8911 426.7308
2150.674 -152.8679 416.7009
1972.024 -242.977 483.6127
2187.033 -211.4969 450.8098
2153.702 -195.2845 428.5922
2108.156 -131.298 456.1991
2306.706 -277.0087 450.7071
2305.518 -213.1901 502.1432
2368.702 -201.7603 463.3594
2299.073 -169.3485 425.4649
2316.652 -276.3206 483.853
2165.529 -153.4401 490.966
2216.055 -178.5002 445.6724
2024.489 -161.9076 433.0754
2048.23 -215.7548 448.8318
2174.579 -135.9121 453.2116
2121.599 -146.5089 443.4604
2190.923 -223.6842 480.3855
1968.077 -175.9299 435.779
2084.243 -180.2453 478.5972
2033.316 -148.1525 416.434
2277.063 -203.6898 463.2985
2359.413 -168.5404 428.8747
2080.91 -191.9553 410.9157
2311.553 -235.6889 430.36
2237.419 -204.0731 499.1768
2316.517 -187.5849 424.1765
2120.112 -175.8438 449.276
2094.607 -221.7583 444.9942
2234.324 -204.5565 483.0128
2306.653 -147.5103 487.4415
2267.041 -214.5768 446.3791
2259.083 -221.5539 481.733
2304.468 -235.5433 474.3363
2171.637 -64.65967 445.5059
2156.919 -299.6467 454.1959
2020.168 -209.7274 440.1368
2130.846 -148.7352 438.0238
2152.108 -170.7669 473.0227
