218.6922 52.23999
220.3554 48.35234
222.5753 45.66649
218.0789 44.3626
222.5681 42.35344
217.4618 36.92752
216.1654 41.06862
210.2701 46.1193
211.9116 45.7618
223.9696 44.02331
247.2591 41.37393
248.7486 34.19209
229.8011 34.36199
216.5011 38.87731
203.4741 41.5155
196.8722 40.64445
201.0452 40.62715
192.5509 41.42692
195.0994 40.09402
202.8 39.26722
220.7187 37.11389
226.052 40.12711
237.592 35.80222
241.8199 36.08284
238.3885 30.38062
238.5537 35.49209
235.5491 40.00874
238.6694 35.84847
242.9936 33.68718
238.4134 29.92029
247.4308 24.29994
241.234 28.66937
238.435 34.24638
246.2083 38.65399
240.5405 39.23586
253.8891 35.2761
245.5105 38.03689
255.3496 33.42658
247.2743 33.80152
255.8695 33.72291
246.8951 35.64088
242.488 34.69562
249.991 36.50825
244.7601 33.20728
245.559 31.16203
234.1797 29.95762
233.0074 28.86925
236.9036 25.28892
234.1547 24.36478
222.6749 27.75429
216.9856 24.95581
214.9875 31.53317
211.6721 24.84769
205.8213 24.69887
202.9412 34.96396
198.6405 38.84749
206.4995 36.0367
206.9421 40.89932
205.7824 45.588
211.9374 47.29812
206.5665 54.4853
216.441 59.81154
203.6438 62.28466
199.1294 60.32202
191.2882 63.31283
191.0998 63.97296
194.1949 67.75373
194.4899 69.38741
197.4397 73.06268
206.9255 74.77604
194.8945 68.74956
197.8572 68.98924
186.0437 75.7859
190.0737 69.97422
192.2263 77.00784
193.2356 75.46503
194.1973 73.67416
194.9849 76.31319
186.9556 73.27105
193.1909 69.56924
197.2229 70.95821
190.2703 71.19579
184.4376 71.98514
181.054 69.92381
176.2752 65.10615
166.7363 61.88028
171.034 62.34446
171.8046 60.81655
169.263 68.96288
168.0847 62.1878
165.2753 66.94814
169.2801 64.59574
183.272 58.01719
183.897 60.88538
175.0356 62.43257
169.3244 62.64963
165.8991 60.62011
154.8252 56.2932
171.6047 56.86866
176.1951 51.83625
