studyName,studyYear,studyLoc,replicate,blockNumber,rowNumber,colNumber,plotNumber,germplasmName,intercropGermplasmName,observationLevel,observationUnitName,Oat_Height_1,Oat_Height_2,Oat_Height_3,Pea_Height_1,Pea_Height_2,Pea_Height_3,Oat_establishment,Pea_establishment,Lodging,Oat_Heading_Date,Pea_Flowering_Date
B4I_2025_AL,2025,AL,1,1,1,39,1039,IL23-3337,NDP170084G,plot,B4I_2025_AL_1039,22,76,22,14,55,14,19,13,3,128,119
B4I_2025_AL,2025,AL,1,1,1,40,1040,IL23-1462,NDP250051Y,plot,B4I_2025_AL_1040,24,87,24,10,54,10,14,9,5,119,115
B4I_2025_AL,2025,AL,1,1,2,40,1041,IL23-3576,NDP250133G,plot,B4I_2025_AL_1041,23,82,23,18,48,18,14,4,8,122,115
B4I_2025_AL,2025,AL,1,1,2,39,1042,IL23-4144,NDP250040Y,plot,B4I_2025_AL_1042,27,94,27,11,51,11,14,1,7,125,119
B4I_2025_AL,2025,AL,1,1,2,38,1043,IL23-3827,NDP250101Y,plot,B4I_2025_AL_1043,24,82,24,12,37,12,14,5,6,125,119
B4I_2025_AL,2025,AL,1,1,2,37,1044,IL23-4252,NDP250042Y,plot,B4I_2025_AL_1044,25,77,25,15,52,15,14,7,3,125,119
B4I_2025_AL,2025,AL,1,1,2,36,1045,IL23-3572,NDP250084Y,plot,B4I_2025_AL_1045,22,72,22,11,48,11,11,6,8,125,119
B4I_2025_AL,2025,AL,1,1,2,35,1046,IL19-5336,NDP250171Y,plot,B4I_2025_AL_1046,25,94,25,14,54,14,8,7,2,125,119
B4I_2025_AL,2025,AL,1,1,2,34,1047,IL22-1019,NDP250040Y,plot,B4I_2025_AL_1047,20,78,20,11,37,11,7,5,0,125,119
B4I_2025_AL,2025,AL,1,1,3,33,1048,IL19-6345,NDP250086Y,plot,B4I_2025_AL_1048,22,66,22,14,47,14,7,3,1,122,115
B4I_2025_AL,2025,AL,1,1,2,32,1049,IL23-1608,NDP250165Y,plot,B4I_2025_AL_1049,24,80,24,14,48,14,14,6,2,119,115
B4I_2025_AL,2025,AL,1,1,2,31,1050,IL20-615,NDP121714R,plot,B4I_2025_AL_1050,24,82,24,13,40,13,14,3,1,119,115
B4I_2025_AL,2025,AL,1,1,2,30,1051,IL21-5955,NDP250106G,plot,B4I_2025_AL_1051,23,69,23,12,40,12,13,4,6,122,115
B4I_2025_AL,2025,AL,1,1,2,29,1052,IL23-475,NDP121711R,plot,B4I_2025_AL_1052,21,75,21,8,39,8,16,6,4,125,119
B4I_2025_AL,2025,AL,1,1,2,28,1053,IL23-4243,NDP250063Y,plot,B4I_2025_AL_1053,25,79,25,14,61,14,11,3,5,119,115
B4I_2025_AL,2025,AL,1,1,2,27,1054,IL23-1206,NDP250162Y,plot,B4I_2025_AL_1054,25,60,25,11,51,11,12,3,2,128,119
B4I_2025_AL,2025,AL,1,1,2,26,1055,IL23-247,NDP121711R,plot,B4I_2025_AL_1055,22,65,22,12,42,12,8,3,2,125,119
B4I_2025_AL,2025,AL,1,1,2,25,1056,IL23-524,NDP150218Y,plot,B4I_2025_AL_1056,25,74,25,15,43,15,8,3,3,125,119
B4I_2025_AL,2025,AL,1,1,2,24,1057,IL21-6257,NDP170253Y,plot,B4I_2025_AL_1057,25,80,25,18,47,18,17,1,2,128,119
B4I_2025_AL,2025,AL,1,1,2,23,1058,IL20-618,NDP121711R,plot,B4I_2025_AL_1058,25,84,25,16,40,16,9,5,5,119,115
B4I_2025_AL,2025,AL,1,1,2,22,1059,IL23-1859,NDP250076Y,plot,B4I_2025_AL_1059,24,78,24,19,40,19,12,7,4,125,119
B4I_2025_AL,2025,AL,1,1,2,21,1060,IL22-4714,NDP170043G,plot,B4I_2025_AL_1060,28,76,28,16,49,16,14,3,3,119,115
B4I_2025_AL,2025,AL,1,1,2,20,1061,IL23-951,NDP170028G,plot,B4I_2025_AL_1061,24,78,24,15,47,15,14,6,1,125,119
B4I_2025_AL,2025,AL,1,1,2,19,1062,IL23-1623,NDP250027G,plot,B4I_2025_AL_1062,24,90,24,18,47,18,12,4,5,122,115
B4I_2025_AL,2025,AL,1,1,2,18,1063,IL23-475,NDP250130Y,plot,B4I_2025_AL_1063,25,80,25,14,47,14,15,4,5,125,119
B4I_2025_AL,2025,AL,1,1,2,17,1064,IL23-1657,NDP250144G,plot,B4I_2025_AL_1064,22,80,22,21,60,21,12,5,6,119,115
B4I_2025_AL,2025,AL,1,1,2,16,1065,IL22-5335,NDP250161Y,plot,B4I_2025_AL_1065,26,81,26,12,48,12,6,4,2,125,119
B4I_2025_AL,2025,AL,1,1,2,15,1066,IL23-1608,NDP170022G,plot,B4I_2025_AL_1066,28,82,28,18,53,18,15,1,5,119,115
B4I_2025_AL,2025,AL,1,1,2,14,1067,IL23-1650,NDP250101Y,plot,B4I_2025_AL_1067,27,75,27,18,52,18,12,5,2,119,115
B4I_2025_AL,2025,AL,1,1,2,13,1068,IL23-959,NDP250073Y,plot,B4I_2025_AL_1068,24,82,24,21,57,21,8,2,1,125,119
B4I_2025_AL,2025,AL,1,1,2,12,1069,IL19-1222,NDP250174Y,plot,B4I_2025_AL_1069,25,88,25,20,53,20,10,6,4,125,119
B4I_2025_AL,2025,AL,1,1,2,11,1070,IL21-4039,NDP250147G,plot,B4I_2025_AL_1070,25,80,25,15,54,15,11,6,1,125,119
B4I_2025_AL,2025,AL,1,1,2,10,1071,IL23-1764,NDP170156Y,plot,B4I_2025_AL_1071,24,85,24,20,47,20,11,5,5,119,115
B4I_2025_AL,2025,AL,1,1,2,9,1072,IL23-1775,NDP250038Y,plot,B4I_2025_AL_1072,23,75,23,19,46,19,9,5,3,119,115
B4I_2025_AL,2025,AL,1,1,2,8,1073,IL23-907,NDP170183Y,plot,B4I_2025_AL_1073,23,78,23,23,57,23,9,3,1,125,119
B4I_2025_AL,2025,AL,1,1,2,7,1074,IL23-3468,NDP250069Y,plot,B4I_2025_AL_1074,19,67,19,20,49,20,11,6,0,125,119
B4I_2025_AL,2025,AL,1,1,2,6,1075,IL23-3565,NDP250108G,plot,B4I_2025_AL_1075,24,70,24,21,45,21,11,4,4,122,115
B4I_2025_AL,2025,AL,1,1,2,5,1076,IL23-3823,ND VICTORY,plot,B4I_2025_AL_1076,24,82,24,15,43,15,7,6,6,122,115
B4I_2025_AL,2025,AL,1,1,2,4,1077,IL23-3549,NDP170057G,plot,B4I_2025_AL_1077,24,76,24,14,45,14,14,4,5,119,115
B4I_2025_AL,2025,AL,1,1,2,3,1078,IL21-5955,NDP250106G,plot,B4I_2025_AL_1078,24,74,24,11,30,11,19,2,5,122,115
B4I_2025_AL,2025,AL,1,1,2,2,1079,IL23-4554,NDP170056G,plot,B4I_2025_AL_1079,24,70,24,22,45,22,8,5,2,122,115
B4I_2025_AL,2025,AL,1,1,2,1,1080,IL23-2246,NDP170027G,plot,B4I_2025_AL_1080,24,62,24,12,35,12,14,6,7,122,115
B4I_2025_AL,2025,AL,1,1,3,1,1081,IL19-4877,NDP170153Y,plot,B4I_2025_AL_1081,25,80,25,22,42,22,8,5,4,119,115
B4I_2025_AL,2025,AL,1,1,3,2,1082,IL23-810,NDP170043G,plot,B4I_2025_AL_1082,22,72,22,14,52,14,9,4,4,128,119
B4I_2025_AL,2025,AL,1,1,3,3,1083,IL23-4039,NDP250045Y,plot,B4I_2025_AL_1083,22,76,22,19,43,19,9,7,4,125,119
B4I_2025_AL,2025,AL,1,1,3,4,1084,IL23-4259,NDP150228Y,plot,B4I_2025_AL_1084,32,80,32,21,43,21,8,6,5,122,115
